CNumber,kinase,inhibition,screen_concentration
66,ABL,32,10
119,ABL,36,10
119,ABL,32,1
180,ABL,43,0.1
180,ABL,6,1
180,ABL,4,10
208,ABL,3,10
219,ABL,31,0.1
219,ABL,7,1
278,ABL,3,1
278,ABL,27,0.1
279,ABL,17,1
313,ABL,1,1
313,ABL,2,0.1
328,ABL,0,1
328,ABL,0,0.1
329,ABL,0,1
329,ABL,1,0.1
341,ABL,45,1
23,AMPK,46,1
23,AMPK,13,10
25,AMPK,5,0.1
25,AMPK,6,1
25,AMPK,4,10
47,AMPK,4,10
49,AMPK,16,0.1
53,AMPK,26,1
54,AMPK,24,10
55,AMPK,19,10
56,AMPK,26,10
56,AMPK,24,1
64,AMPK,10,1
64,AMPK,9,10
66,AMPK,17,0.1
66,AMPK,4,1
66,AMPK,14,10
71,AMPK,15,1
96,AMPK,26,0.1
96,AMPK,17,10
96,AMPK,39,1
114,AMPK,44,1
119,AMPK,10,10
119,AMPK,17,1
122,AMPK,8,0.01
127,AMPK,25,10
127,AMPK,46,0.1
127,AMPK,20,1
128,AMPK,14,10
146,AMPK,2,1
146,AMPK,1,10
146,AMPK,49,0.1
172,AMPK,49,1
172,AMPK,22,10
208,AMPK,22,10
219,AMPK,25,0.1
219,AMPK,22,1
259,AMPK,27,1
259,AMPK,34,10
279,AMPK,24,1
289,AMPK,6,0.01
289,AMPK,2,0.1
289,AMPK,1,1
294,AMPK,1,10
294,AMPK,5,1
300,AMPK,1,1
300,AMPK,7,0.1
313,AMPK,2,1
313,AMPK,2,0.1
119,AMPK (hum),3,10
119,AMPK (hum),4,1
279,AMPK (hum),15,1
289,AMPK (hum),4,0.01
289,AMPK (hum),3,0.1
289,AMPK (hum),1,1
294,AMPK (hum),1,10
294,AMPK (hum),3,1
300,AMPK (hum),2,1
300,AMPK (hum),5,0.1
313,AMPK (hum),1,1
313,AMPK (hum),2,0.1
320,AMPK (hum),28,0.1
320,AMPK (hum),5,1
339,AMPK (hum),10,10
339,AMPK (hum),40,1
341,AMPK (hum),2,1
355,AMPK (hum),39,1
356,AMPK (hum),15,1
66,ASK1,6,10
208,ASK1,8,10
290,ASK1,44,1
290,ASK1,10,10
293,ASK1,44,100
294,ASK1,3,10
294,ASK1,15,1
18,Aurora A,4,10
18,Aurora A,24,1
26,Aurora A,20,0.1
26,Aurora A,2,1
64,Aurora A,29,1
64,Aurora A,6,10
66,Aurora A,0,1
66,Aurora A,0,10
91,Aurora A,0,10
91,Aurora A,3,0.1
91,Aurora A,3,1
119,Aurora A,3,10
119,Aurora A,2,1
133,Aurora A,2,5
133,Aurora A,2,1
141,Aurora A,45,10
172,Aurora A,17,1
172,Aurora A,3,10
175,Aurora A,49,0.1
175,Aurora A,10,1
175,Aurora A,20,10
183,Aurora A,5,10
183,Aurora A,30,1
207,Aurora A,42,1
208,Aurora A,1,10
219,Aurora A,18,0.1
219,Aurora A,3,1
221,Aurora A,32,100
259,Aurora A,15,1
259,Aurora A,2,10
289,Aurora A,28,0.01
289,Aurora A,4,0.1
289,Aurora A,5,1
294,Aurora A,3,10
294,Aurora A,12,1
313,Aurora A,10,1
313,Aurora A,48,0.1
16,Aurora B,15,10
23,Aurora B,6,1
23,Aurora B,4,10
26,Aurora B,17,0.01
26,Aurora B,1,10
26,Aurora B,5,0.1
26,Aurora B,3,1
43,Aurora B,12,10
49,Aurora B,23,0.1
50,Aurora B,17,0.1
50,Aurora B,14,1
50,Aurora B,12,10
53,Aurora B,17,1
63,Aurora B,5,10
63,Aurora B,21,1
64,Aurora B,6,1
64,Aurora B,4,10
66,Aurora B,5,1
66,Aurora B,35,10
67,Aurora B,49,1
71,Aurora B,14,1
111,Aurora B,45,10
114,Aurora B,14,1
115,Aurora B,35,1
115,Aurora B,23,10
119,Aurora B,2,10
119,Aurora B,3,1
120,Aurora B,3,1
120,Aurora B,2,10
125,Aurora B,7,1
125,Aurora B,8,10
129,Aurora B,23,10
129,Aurora B,37,1
133,Aurora B,5,10
133,Aurora B,2,5
133,Aurora B,2,1
144,Aurora B,15,10
151,Aurora B,46,0.1
151,Aurora B,27,1
175,Aurora B,43,0.1
175,Aurora B,11,1
175,Aurora B,12,10
208,Aurora B,41,10
219,Aurora B,36,0.1
219,Aurora B,11,1
280,Aurora B,40,1
280,Aurora B,48,10
289,Aurora B,49,0.01
289,Aurora B,46,0.1
289,Aurora B,39,1
293,Aurora B,23,100
294,Aurora B,1,10
294,Aurora B,4,1
300,Aurora B,7,1
300,Aurora B,35,0.1
313,Aurora B,14,1
313,Aurora B,23,0.1
317,Aurora B,6,1
317,Aurora B,34,0.1
320,Aurora B,7,0.1
320,Aurora B,2,1
339,Aurora B,13,10
339,Aurora B,49,1
341,Aurora B,23,1
345,Aurora B,39,1
349,Aurora B,42,1
6,Aurora C,30,50
16,Aurora C,34,10
23,Aurora C,8,1
23,Aurora C,6,10
26,Aurora C,26,0.01
26,Aurora C,2,10
49,Aurora C,26,0.1
50,Aurora C,48,0.1
50,Aurora C,13,1
50,Aurora C,7,10
53,Aurora C,19,1
71,Aurora C,15,1
89,Aurora C,47,1
89,Aurora C,17,10
114,Aurora C,20,1
119,Aurora C,7,1
120,Aurora C,10,1
120,Aurora C,1,10
125,Aurora C,17,1
125,Aurora C,7,10
66,BRK,4,10
208,BRK,7,10
211,BRK,8,10
211,BRK,4,1
211,BRK,10,0.1
219,BRK,46,0.1
219,BRK,6,1
223,BRK,42,10
223,BRK,27,1
259,BRK,21,1
259,BRK,5,10
278,BRK,3,1
278,BRK,30,0.1
289,BRK,28,0.01
289,BRK,16,0.1
289,BRK,4,1
293,BRK,47,100
313,BRK,8,1
313,BRK,31,0.1
317,BRK,10,1
317,BRK,42,0.1
328,BRK,2,1
328,BRK,5,0.1
19,BRSK1,14,0.1
64,BRSK1,40,1
64,BRSK1,34,10
66,BRSK1,11,1
66,BRSK1,5,10
96,BRSK1,24,10
96,BRSK1,38,1
119,BRSK1,18,10
119,BRSK1,13,1
133,BRSK1,24,5
133,BRSK1,29,1
149,BRSK1,46,0.1
149,BRSK1,31,1
208,BRSK1,8,10
259,BRSK1,31,1
259,BRSK1,8,10
279,BRSK1,23,1
294,BRSK1,1,10
294,BRSK1,3,1
313,BRSK1,2,1
313,BRSK1,14,0.1
320,BRSK1,44,0.1
320,BRSK1,12,1
341,BRSK1,30,1
10,BRSK2,37,1
25,BRSK2,13,0.1
25,BRSK2,10,1
25,BRSK2,18,10
28,BRSK2,39,1
28,BRSK2,10,10
34,BRSK2,42,25
43,BRSK2,23,10
49,BRSK2,48,0.1
53,BRSK2,38,1
55,BRSK2,42,10
64,BRSK2,31,1
64,BRSK2,30,10
66,BRSK2,9,0.1
66,BRSK2,3,1
66,BRSK2,3,10
67,BRSK2,41,1
71,BRSK2,14,1
77,BRSK2,22,20
78,BRSK2,2,100
114,BRSK2,43,1
119,BRSK2,6,10
119,BRSK2,13,1
122,BRSK2,27,0.01
133,BRSK2,48,10
133,BRSK2,14,5
133,BRSK2,39,1
149,BRSK2,4,10
149,BRSK2,41,0.1
149,BRSK2,43,1
205,BRSK2,42,10
208,BRSK2,2,10
221,BRSK2,46,100
259,BRSK2,28,1
259,BRSK2,11,10
279,BRSK2,21,1
289,BRSK2,16,0.01
289,BRSK2,10,0.1
289,BRSK2,8,1
294,BRSK2,2,10
294,BRSK2,6,1
313,BRSK2,2,1
313,BRSK2,10,0.1
341,BRSK2,41,1
43,BTK,18,10
63,BTK,26,1
63,BTK,10,10
66,BTK,8,0.1
66,BTK,4,1
66,BTK,19,10
89,BTK,12,0.1
89,BTK,3,1
90,BTK,9,0.1
90,BTK,16,1
90,BTK,14,10
96,BTK,10,10
96,BTK,40,1
133,BTK,27,10
133,BTK,19,5
133,BTK,28,1
139,BTK,5,10
139,BTK,48,0.1
139,BTK,21,1
172,BTK,47,1
172,BTK,16,10
175,BTK,34,0.1
175,BTK,12,1
175,BTK,9,10
208,BTK,16,10
219,BTK,22,0.1
219,BTK,14,1
279,BTK,37,1
289,BTK,49,0.01
289,BTK,11,0.1
289,BTK,9,1
300,BTK,14,1
300,BTK,44,0.1
313,BTK,7,1
313,BTK,16,0.1
328,BTK,1,1
328,BTK,1,0.1
329,BTK,1,1
329,BTK,1,0.1
43,CAMK1,19,10
66,CAMK1,46,0.1
66,CAMK1,15,1
66,CAMK1,3,10
69,CAMK1,38,10
133,CAMK1,7,10
133,CAMK1,3,5
133,CAMK1,6,1
156,CAMK1,19,10
156,CAMK1,49,1
172,CAMK1,48,1
172,CAMK1,8,10
208,CAMK1,4,10
221,CAMK1,45,100
313,CAMK1,15,1
313,CAMK1,48,0.1
343,CAMK1,42,1
352,CAMK1,22,1
353,CAMK1,30,1
355,CAMK1,4,1
356,CAMK1,3,1
49,CAMKK alpha ,37,0.1
119,CAMKK alpha ,20,1
17,CAMKK beta ,14,10
17,CAMKK beta ,16,1
17,CAMKK beta ,24,0.1
44,CAMKK beta ,49,3
49,CAMKK beta ,16,0.1
71,CAMKK beta ,27,1
91,CAMKK beta ,19,10
91,CAMKK beta ,22,0.1
91,CAMKK beta ,19,1
98,CAMKK beta ,42,10
98,CAMKK beta ,27,20
101,CAMKK beta ,43,10
114,CAMKK beta ,40,1
117,CAMKK beta ,9,0.1
117,CAMKK beta ,4,1
117,CAMKK beta ,5,10
119,CAMKK beta ,9,10
119,CAMKK beta ,12,1
122,CAMKK beta ,20,0.01
139,CAMKK beta ,7,10
139,CAMKK beta ,47,0.1
139,CAMKK beta ,24,1
146,CAMKK beta ,2,1
146,CAMKK beta ,2,10
146,CAMKK beta ,11,0.1
149,CAMKK beta ,30,10
149,CAMKK beta ,39,0.1
149,CAMKK beta ,20,1
180,CAMKK beta ,43,0.1
180,CAMKK beta ,13,1
180,CAMKK beta ,8,10
208,CAMKK beta ,4,10
222,CAMKK beta ,8,10
222,CAMKK beta ,10,1
