CNumber,kinase,inhibition,standard_deviation,screen_concentration
17,ABL,97,9,1
17,ABL,104,4,0.1
18,ABL,40,2,10
18,ABL,90,3,1
31,ABL,78,6,10
31,ABL,100,6,1
31,ABL,98,11,0.1
56,ABL,101,4,10
56,ABL,94,4,1
65,ABL,105,8,1
65,ABL,102,7,0.1
66,ABL,32,2,10
83,ABL,108,0,10
83,ABL,89,0,1
87,ABL,112,15,10
87,ABL,106,5,1
93,ABL,95,5,0.1
93,ABL,41,8,1
96,ABL,59,3,10
96,ABL,88,0,1
119,ABL,36,5,10
119,ABL,32,3,1
158,ABL,100,11,10
158,ABL,116,7,1
174,ABL,111,0,10
175,ABL,101,10,0.1
175,ABL,89,14,1
175,ABL,110,6,10
176,ABL,110,3,0.1
176,ABL,106,11,1
176,ABL,109,10,10
177,ABL,108,5,0.1
177,ABL,71,6,1
178,ABL,101,3,10
179,ABL,101,1,1
179,ABL,75,5,10
180,ABL,43,2,0.1
180,ABL,6,0,1
180,ABL,4,4,10
181,ABL,85,5,0.1
181,ABL,33,5,1
182,ABL,93,1,1
182,ABL,82,11,10
183,ABL,85,3,10
183,ABL,89,3,1
184,ABL,14,3,10
184,ABL,60,6,1
185,ABL,95,5,10
185,ABL,88,10,1
188,ABL,101,0,1
188,ABL,91,3,0.1
189,ABL,101,2,1
189,ABL,100,5,0.1
200,ABL,89,2,10
200,ABL,96,5,1
201,ABL,102,10,1
201,ABL,92,12,0.1
202,ABL,97,6,1
202,ABL,92,5,0.1
203,ABL,105,6,10
203,ABL,110,31,100
204,ABL,116,10,0.1
204,ABL,103,13,1
205,ABL,107,7,10
206,ABL,100,8,1
207,ABL,62,10,1
208,ABL,3,1,10
209,ABL,97,6,1
209,ABL,108,21,0.1
209,ABL,95,6,0.01
211,ABL,39,2,10
211,ABL,80,1,1
211,ABL,87,13,0.1
213,ABL,98,1,10
213,ABL,103,19,1
214,ABL,107,11,10
214,ABL,101,10,1
215,ABL,98,4,10
215,ABL,105,4,1
215,ABL,106,0,0.1
216,ABL,100,5,10
216,ABL,112,5,1
216,ABL,102,11,0.1
217,ABL,58,7,10
217,ABL,86,6,1
217,ABL,102,6,0.1
219,ABL,31,2,0.1
219,ABL,7,3,1
220,ABL,103,1,10
220,ABL,93,8,1
221,ABL,92,1,100
222,ABL,74,12,10
222,ABL,104,3,1
223,ABL,93,1,10
223,ABL,96,0,1
226,ABL,90,0,0.01
226,ABL,53,9,0.1
226,ABL,35,6,1
250,ABL,91,4,1
250,ABL,100,5,0.1
252,ABL,85,12,1
252,ABL,77,9,0.1
253,ABL,86,7,1
253,ABL,97,3,0.1
254,ABL,105,5,1
254,ABL,97,4,0.1
254,ABL,96,6,0.01
258,ABL,101,10,1
258,ABL,105,20,0.1
259,ABL,97,1,1
259,ABL,39,2,10
260,ABL,97,4,1
260,ABL,86,14,10
261,ABL,84,7,1
261,ABL,86,9,10
262,ABL,120,3,0.1
262,ABL,113,6,1
262,ABL,76,6,10
265,ABL,99,4,1
265,ABL,47,3,10
265,ABL,100,8,0.1
266,ABL,109,9,1
266,ABL,96,3,10
266,ABL,102,4,0.1
267,ABL,95,11,1
267,ABL,103,6,10
277,ABL,1,0,10
277,ABL,4,0,1
277,ABL,51,1,0.1
278,ABL,3,1,1
278,ABL,27,1,0.1
279,ABL,17,1,1
280,ABL,100,6,1
280,ABL,91,9,10
283,ABL,95,6,1 000.00
283,ABL,105,9,100
283,ABL,98,3,10
284,ABL,101,10,10
284,ABL,96,14,1
285,ABL,106,8,10
285,ABL,110,1,1
285,ABL,101,4,0.1
