Kinases,Interaction,Target Protein
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
ABL1_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
EPHA4_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
FYN_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
ABL1_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
EPHA4_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
FYN_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
ABL1_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
EPHA4_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
FYN_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
ABL1_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
EPHA4_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
FYN_HUMAN,phosphorylates,['CDK5RAP1_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
PLK1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
ABL1_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
EPHA4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
FYN_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CDK5_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
PLK2_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
PLK2_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
PLK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
CaMK4_HUMAN,phosphorylates,['CDK5RAP2_HUMAN']
