Gene stable ID	Gene start (bp)	Gene end (bp)	Gene name	Chromosome/scaffold name
ENSG00000175899	9067664	9116229	A2M	12
ENSG00000094914	53307456	53324864	AAAS	12
ENSG00000103591	67201033	67255195	AAGAB	15
ENSG00000115977	69457997	69674349	AAK1	2
ENSG00000090861	70252295	70289543	AARS	16
ENSG00000124608	44299654	44313326	AARS2	6
ENSG00000275700	36948875	37056871	AATF	17
ENSG00000276072	36950708	37058704	AATF	CHR_HSCHR17_7_CTG4
ENSG00000183044	8674565	8784575	ABAT	16
ENSG00000179869	48171458	48647496	ABCA13	7
ENSG00000107331	137007227	137028922	ABCA2	9
ENSG00000198691	93992835	94121132	ABCA4	1
ENSG00000154262	69078702	69141888	ABCA6	17
ENSG00000115657	219209766	219219017	ABCB6	2
ENSG00000278183	16034690	16228109	ABCC1	CHR_HSCHR16_1_CTG1
ENSG00000103222	15949577	16143074	ABCC1	16
ENSG00000114770	183919934	184018015	ABCC5	3
ENSG00000225989	30563598	30589402	ABCF1	CHR_HSCHR6_MHC_SSTO_CTG1
ENSG00000231129	30616012	30641816	ABCF1	CHR_HSCHR6_MHC_MANN_CTG1
ENSG00000232169	30561610	30587416	ABCF1	CHR_HSCHR6_MHC_DBB_CTG1
ENSG00000206490	30560870	30586674	ABCF1	CHR_HSCHR6_MHC_QBL_CTG1
ENSG00000204574	30571376	30597179	ABCF1	6
ENSG00000236149	30561217	30587022	ABCF1	CHR_HSCHR6_MHC_COX_CTG1
ENSG00000236342	30649829	30675633	ABCF1	CHR_HSCHR6_MHC_MCF_CTG1
ENSG00000033050	151212490	151227230	ABCF2	7
ENSG00000285292	151207837	151227166	ABCF2	7
ENSG00000168792	29560547	29567137	ABHD15	17
ENSG00000136754	26746593	26861087	ABI1	10
ENSG00000138443	203328219	203447723	ABI2	2
ENSG00000097007	130713946	130887675	ABL1	9
ENSG00000143322	179099327	179229684	ABL2	1
ENSG00000099204	114431113	114685003	ABLIM1	10
ENSG00000159842	1003518	1229738	ABR	17
ENSG00000278741	1003519	1192547	ABR	CHR_HSCHR17_2_CTG2
ENSG00000276016	1003519	1116206	ABR	CHR_HSCHR17_3_CTG2
ENSG00000166016	34150988	34358008	ABTB2	11
ENSG00000278540	37084988	37406818	ACACA	17
ENSG00000275176	37086456	37411442	ACACA	CHR_HSCHR17_7_CTG4
ENSG00000115361	210187939	210225491	ACADL	2
ENSG00000072818	7336529	7351478	ACAP1	17
ENSG00000114331	195274736	195443078	ACAP2	3
